trip_id,start_stop_id,arrival_time,stop_sequence_x,stop_lat,stop_lon,route_id,direction_id,speed_kmh,segment_max_speed_kmh,runtime_sec,end_stop_id,congestion_level
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,2360,1900-01-01 19:15:00.000000000,2,51.167915,7.081023,300025,0,4.0,4.0,360.0,3452,4
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,8956,1900-01-01 19:21:00.000000000,3,51.163758,7.07951,300025,0,29.0,29.0,60.0,2360,2
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3451,1900-01-01 19:22:00.000000000,4,51.161681,7.077661,300025,0,16.0,16.0,60.0,8956,3
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,7772,1900-01-01 19:23:00.000000000,5,51.158978,7.074396,300025,0,32.0,32.0,60.0,3451,1
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,5297,1900-01-01 19:24:00.000000000,6,51.156805,7.0702,300025,0,23.0,23.0,60.0,7772,2
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3450,1900-01-01 19:25:00.000000000,7,51.15429,7.066125,300025,0,24.0,24.0,60.0,5297,2
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3449,1900-01-01 19:26:00.000000000,8,51.151736,7.055332,300025,0,51.0,51.0,60.0,3450,0
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,2636,1900-01-01 19:27:00.000000000,9,51.150643,7.050905,300025,0,55.0,55.0,60.0,3449,0
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3448,1900-01-01 19:28:00.000000000,10,51.148841,7.045405,300025,0,26.0,26.0,60.0,2636,2
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3447,1900-01-01 19:29:00.000000000,11,51.14615,7.02951,300025,0,37.0,37.0,120.0,3448,1
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3446,1900-01-01 19:31:00.000000000,12,51.14266,7.027789,300025,0,23.0,23.0,60.0,3447,2
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3445,1900-01-01 19:32:00.000000000,13,51.139561,7.026491,300025,0,24.0,24.0,60.0,3446,2
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3444,1900-01-01 19:33:00.000000000,14,51.131395,7.025896,300025,0,47.3,57.0,80.0,3445,0
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3522,1900-01-01 19:34:20.000000000,15,51.127984,7.022263,300025,0,28.0,28.0,60.0,3444,2
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3521,1900-01-01 19:35:20.000000000,16,51.124945,7.017196,300025,0,30.0,30.0,60.0,3522,2
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3520,1900-01-01 19:36:20.000000000,17,51.117615,7.014579,300025,0,52.0,52.0,60.0,3521,0
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3519,1900-01-01 19:37:20.000000000,18,51.109506,7.012559,300025,0,57.0,57.0,60.0,3520,0
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3100,1900-01-01 19:38:20.000000000,19,51.105468,7.015912,300025,0,19.0,19.0,120.0,3519,3
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3101,1900-01-01 19:40:20.000000000,20,51.103249,7.012708,300025,0,7.0,14.0,240.0,3100,4
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3101,1900-01-01 19:44:20.000000000,20,51.103249,7.012708,300025,0,21.0,21.0,60.0,3433,2
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3102,1900-01-01 19:45:20.000000000,21,51.098043,7.005556,300025,0,31.0,31.0,120.0,3101,1
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3103,1900-01-01 19:47:20.000000000,22,51.093956,6.997901,300025,0,23.0,23.0,120.0,3102,2
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3428,1900-01-01 19:49:20.000000000,23,51.091131,6.99814,300025,0,19.0,19.0,60.0,3103,3
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3427,1900-01-01 19:50:20.000000000,24,51.084846,6.996192,300025,0,29.5,31.0,46.6666666666667,9429,2
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3426,1900-01-01 19:51:06.666666667,25,51.081621,6.995952,300025,0,23.0,24.2752987344503,33.3333333333333,3427,2
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,2637,1900-01-01 19:51:40.000000000,26,51.079675,6.995439,300025,0,13.0,13.0,60.0,3426,4
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3066,1900-01-01 19:52:40.000000000,27,51.075341,6.993448,300025,0,30.0,30.0,60.0,2637,2
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3064,1900-01-01 19:53:40.000000000,28,51.069844,7.000336,300025,0,24.0,24.0,120.0,3066,2
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,5221,1900-01-01 19:55:40.000000000,29,51.067354,7.003549,300025,0,22.0,22.0,60.0,3064,2
