trip_id,start_stop_id,arrival_time,departure_time,stop_sequence_x,stop_lat,stop_lon,route_id,direction_id,stop_sequence_y,speed_kmh,segment_max_speed_kmh,runtime_sec,segment_id,end_stop_id,distance_m
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,2360,1900-01-01 19:15:00,1900-01-01 19:15:00,2,51.167915,7.081023,300025,0,30,4.0,4.0,360.0,2360 - 3452,3452,441.486549887895
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,2360,1900-01-01 19:15:00,1900-01-01 19:15:00,2,51.167915,7.081023,300025,0,34,4.0,4.0,360.0,2360 - 3452,3452,441.486549887895
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,2360,1900-01-01 19:15:00,1900-01-01 19:15:00,2,51.167915,7.081023,300025,0,51,4.0,4.0,360.0,2360 - 3452,3452,441.486549887895
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,8956,1900-01-01 19:16:00,1900-01-01 19:16:00,3,51.163758,7.07951,300025,0,29,29.0,29.0,60.0,8956 - 2360,2360,479.042020970192
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,8956,1900-01-01 19:16:00,1900-01-01 19:16:00,3,51.163758,7.07951,300025,0,33,29.0,29.0,60.0,8956 - 2360,2360,479.042020970192
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,8956,1900-01-01 19:16:00,1900-01-01 19:16:00,3,51.163758,7.07951,300025,0,50,29.0,29.0,60.0,8956 - 2360,2360,479.042020970192
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3451,1900-01-01 19:17:00,1900-01-01 19:17:00,4,51.161681,7.077661,300025,0,28,16.0,16.0,60.0,3451 - 8956,8956,266.526276167597
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3451,1900-01-01 19:17:00,1900-01-01 19:17:00,4,51.161681,7.077661,300025,0,32,16.0,16.0,60.0,3451 - 8956,8956,266.526276167597
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3451,1900-01-01 19:17:00,1900-01-01 19:17:00,4,51.161681,7.077661,300025,0,49,16.0,16.0,60.0,3451 - 8956,8956,266.526276167597
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,7772,1900-01-01 19:18:00,1900-01-01 19:18:00,5,51.158978,7.074396,300025,0,27,32.0,32.0,60.0,7772 - 3451,3451,539.092369547655
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,7772,1900-01-01 19:18:00,1900-01-01 19:18:00,5,51.158978,7.074396,300025,0,31,32.0,32.0,60.0,7772 - 3451,3451,539.092369547655
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,7772,1900-01-01 19:18:00,1900-01-01 19:18:00,5,51.158978,7.074396,300025,0,48,32.0,32.0,60.0,7772 - 3451,3451,539.09236954761
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,5297,1900-01-01 19:19:00,1900-01-01 19:19:00,6,51.156805,7.0702,300025,0,26,23.0,23.0,60.0,5297 - 7772,7772,384.3438395394
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,5297,1900-01-01 19:19:00,1900-01-01 19:19:00,6,51.156805,7.0702,300025,0,30,23.0,23.0,60.0,5297 - 7772,7772,384.3438395394
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,5297,1900-01-01 19:19:00,1900-01-01 19:19:00,6,51.156805,7.0702,300025,0,47,23.0,23.0,60.0,5297 - 7772,7772,384.343839539445
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3450,1900-01-01 19:20:00,1900-01-01 19:20:00,7,51.15429,7.066125,300025,0,25,24.0,24.0,60.0,3450 - 5297,5297,399.464782069137
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3450,1900-01-01 19:20:00,1900-01-01 19:20:00,7,51.15429,7.066125,300025,0,29,24.0,24.0,60.0,3450 - 5297,5297,399.464782069137
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3450,1900-01-01 19:20:00,1900-01-01 19:20:00,7,51.15429,7.066125,300025,0,46,24.0,24.0,60.0,3450 - 5297,5297,399.464782069137
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3449,1900-01-01 19:22:00,1900-01-01 19:22:00,8,51.151736,7.055332,300025,0,24,51.0,51.0,60.0,3449 - 3450,3450,851.287041424288
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3449,1900-01-01 19:22:00,1900-01-01 19:22:00,8,51.151736,7.055332,300025,0,28,51.0,51.0,60.0,3449 - 3450,3450,851.287041424288
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3449,1900-01-01 19:22:00,1900-01-01 19:22:00,8,51.151736,7.055332,300025,0,45,51.0,51.0,60.0,3449 - 3450,3450,851.490982827388
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,2636,1900-01-01 19:23:00,1900-01-01 19:23:00,9,51.150643,7.050905,300025,0,23,55.0,55.0,60.0,2636 - 3449,3449,912.779498051385
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,2636,1900-01-01 19:23:00,1900-01-01 19:23:00,9,51.150643,7.050905,300025,0,27,55.0,55.0,60.0,2636 - 3449,3449,912.779498051385
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,2636,1900-01-01 19:23:00,1900-01-01 19:23:00,9,51.150643,7.050905,300025,0,44,55.0,55.0,60.0,2636 - 3449,3449,913.001941033586
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3448,1900-01-01 19:24:00,1900-01-01 19:24:00,10,51.148841,7.045405,300025,0,22,26.0,26.0,60.0,3448 - 2636,2636,434.143606516225
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3448,1900-01-01 19:24:00,1900-01-01 19:24:00,10,51.148841,7.045405,300025,0,26,26.0,26.0,60.0,3448 - 2636,2636,434.143606516225
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3448,1900-01-01 19:24:00,1900-01-01 19:24:00,10,51.148841,7.045405,300025,0,43,26.0,26.0,60.0,3448 - 2636,2636,434.143606516225
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3447,1900-01-01 19:26:00,1900-01-01 19:26:00,11,51.14615,7.02951,300025,0,21,37.0,37.0,120.0,3447 - 3448,3448,1232.55160164694
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3447,1900-01-01 19:26:00,1900-01-01 19:26:00,11,51.14615,7.02951,300025,0,25,37.0,37.0,120.0,3447 - 3448,3448,1232.55160164694
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3447,1900-01-01 19:26:00,1900-01-01 19:26:00,11,51.14615,7.02951,300025,0,42,37.0,37.0,120.0,3447 - 3448,3448,1233.84080578064
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3446,1900-01-01 19:27:00,1900-01-01 19:27:00,12,51.14266,7.027789,300025,0,20,23.0,23.0,60.0,3446 - 3447,3447,379.568641388849
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3446,1900-01-01 19:27:00,1900-01-01 19:27:00,12,51.14266,7.027789,300025,0,24,23.0,23.0,60.0,3446 - 3447,3447,379.568641388849
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3446,1900-01-01 19:27:00,1900-01-01 19:27:00,12,51.14266,7.027789,300025,0,41,23.0,23.0,60.0,3446 - 3447,3447,378.178270812283
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3445,1900-01-01 19:28:00,1900-01-01 19:28:00,13,51.139561,7.026491,300025,0,19,24.0,24.0,60.0,3445 - 3446,3446,393.30212628616
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3445,1900-01-01 19:28:00,1900-01-01 19:28:00,13,51.139561,7.026491,300025,0,23,24.0,24.0,60.0,3445 - 3446,3446,393.30212628616
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3445,1900-01-01 19:28:00,1900-01-01 19:28:00,13,51.139561,7.026491,300025,0,40,24.0,24.0,60.0,3445 - 3446,3446,392.425645007312
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3444,1900-01-01 19:29:00,1900-01-01 19:29:00,14,51.131395,7.025896,300025,0,18,47.3,57.0,80.0,3444 - 3445,3445,943.854689820345
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3444,1900-01-01 19:29:00,1900-01-01 19:29:00,14,51.131395,7.025896,300025,0,22,47.3,57.0,80.0,3444 - 3445,3445,943.854689820345
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3444,1900-01-01 19:29:00,1900-01-01 19:29:00,14,51.131395,7.025896,300025,0,39,47.3,57.0,80.0,3444 - 3445,3445,943.441176827161
