,trip_id,start_stop_id,arrival_time,arrival_hour,arrival_minute,stop_sequence_x,stop_lat,stop_lon,route_id,direction_id,speed_kmh,segment_max_speed_kmh,runtime_sec,end_stop_id,distance_m,next_lat,next_lon,congestion_level
6525,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2071,1899-12-31 19:03:30.000000000,19,3,27,50.813915,7.150895,800501,1,8.0,32.0,240.0,2664,564.754925006096,50.813915,7.150895,4
5834,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,5228,1900-01-01 00:00:00.000000000,0,0,1,51.031508,6.991655,300214,1,35.0,35.0,60.0,3030,580.498644599919,51.032293,6.99659,1
8353,37-801-013-6058.2.22:233600-22-1_06E3FE31-6272-4C22-83AA-AF5501315C44,6140,1900-01-01 00:00:00.000000000,0,0,15,50.59767,6.786604,1300801,0,28.0,28.0,120.0,6139,944.29623649203,50.597332,6.773887,2
1671,1033-800-012-687.2.29:232000-26-1_0288161C-A12C-4DB1-89C9-AF55013152E4,6038,1900-01-01 00:00:00.000000000,0,0,24,50.626154,6.953136,1200800,1,30.0,30.0,120.0,7113,993.415544804499,50.629212,6.947502,2
1669,1033-800-012-687.2.29:232000-26-1_0288161C-A12C-4DB1-89C9-AF55013152E4,6038,1900-01-01 00:00:00.000000000,0,0,24,50.626154,6.953136,1200800,0,14.0,14.0,120.0,2823,460.017346519459,50.627001,6.948476,4
5835,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3030,1900-01-01 00:01:00.000000000,0,1,2,51.032293,6.99659,300214,1,24.0,24.0,60.0,3029,402.729939820864,51.031427,7.002159,2
2131,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,5068,1900-01-01 00:01:00.000000000,0,1,5,50.799606,7.208389,800510,1,19.0,19.0,60.0,4969,316.300710732029,50.799497,7.21111,3
5822,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3030,1900-01-01 00:01:00.000000000,0,1,2,51.032293,6.99659,300214,0,12.0,17.0,180.0,5228,580.498644599919,51.031427,7.002159,4
2120,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,5068,1900-01-01 00:01:00.000000000,0,1,5,50.799606,7.208389,800510,0,16.0,16.0,60.0,2253,259.063446407003,50.799497,7.21111,3
2121,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,2253,1900-01-01 00:02:00.000000000,0,2,6,50.799497,7.21111,800510,0,24.0,24.0,120.0,2254,798.700143495177,50.803422,7.220106,2
1672,1033-800-012-687.2.29:232000-26-1_0288161C-A12C-4DB1-89C9-AF55013152E4,1690,1900-01-01 00:02:00.000000000,0,2,26,50.629212,6.947502,1200800,1,17.0,17.0,120.0,7114,566.253023457735,50.629212,6.947502,3
6494,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2664,1900-01-01 00:02:00.000000000,0,2,28,50.811571,7.158839,800501,0,28.3,34.0,80.0,2071,564.754925006096,50.813904,7.163821,2
5836,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3029,1900-01-01 00:02:00.000000000,0,2,3,51.031427,7.002159,300214,1,26.0,26.0,60.0,3028,427.127735363329,51.031249,7.008228,2
6512,239-501-008-1077.2.21:231800-40-163_C4D1C647-B636-4310-9FFC-B04600FBA1F7,2664,1900-01-01 00:02:00.000000000,0,2,28,50.811571,7.158839,800501,1,17.0,17.0,120.0,2076,561.355023459961,50.813904,7.163821,3
2132,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,2253,1900-01-01 00:02:00.000000000,0,2,6,50.799497,7.21111,800510,1,16.0,16.0,60.0,5068,259.063446407003,50.803422,7.220106,3
1670,1033-800-012-687.2.29:232000-26-1_0288161C-A12C-4DB1-89C9-AF55013152E4,2823,1900-01-01 00:02:00.000000000,0,2,25,50.627001,6.948476,1200800,0,10.0,10.0,180.0,1690,495.679578297188,50.627001,6.948476,4
8354,37-801-013-6058.2.22:233600-22-1_06E3FE31-6272-4C22-83AA-AF5501315C44,6139,1900-01-01 00:02:00.000000000,0,2,16,50.597332,6.773887,1300801,0,22.0,23.0,120.0,6138,735.9169922876,50.597138,6.784123,2
2133,119-510-008-1811.2.24:235400-15-1_C2E82FE8-0BC4-4DFE-9D79-AF560142FF7F,2254,1900-01-01 00:03:00.000000000,0,3,7,50.803422,7.220106,800510,1,24.0,24.0,120.0,2253,798.700143495177,50.807496,7.231024,2
5837,214018-214-003-5228.2.30:240000-13-63_1E4738C6-73BA-48A9-98E1-AFF201359713,3028,1900-01-01 00:03:00.000000000,0,3,4,51.031249,7.008228,300214,1,18.0,36.0,120.0,7107,602.318409718293,51.032633,7.016513,2
